-rw-r--r--  1 user  staff  16361864 Aug 17 02:03 initramfs.cpio.gz
[    0.000000][    T0] Booting Linux on physical CPU 0x0000000000 [0x610f0000]
[    0.000000][    T0] Linux version 6.12.23-android16-5-abA175FXXS3BZA5-4k (kleaf@build-host) (Android (12833971, +pgo, +bolt, +lto, +mlgo, based on r536225) clang version 19.0.1 (https://android.googlesource.com/toolchain/llvm-project b3a530ec6537146650e42be89f1089e9a3588460), LLD 19.0.1) #1 SMP PREEMPT Thu Jan 15 02:57:19 UTC 2026
[    0.000000][    T0] KASLR disabled on command line
[    0.000000][    T0] random: crng init done
[    0.000000][    T0] Machine model: linux,dummy-virt
[    0.000000][    T0] KVM is not available. Ignoring kvm-arm.mode
[    0.000000][    T0] earlycon: pl11 at MMIO 0x0000000009000000 (options '')
[    0.000000][    T0] printk: legacy bootconsole [pl11] enabled
[    0.000000][    T0] efi: UEFI not found.
[    0.000000][    T0] robuffer_base: 0, robuffser_size: 0
[    0.000000][    T0] OF: reserved mem: Reserved memory: No reserved-memory node in the DT
[    0.000000][    T0] Zone ranges:
[    0.000000][    T0]   DMA32    [mem 0x0000000040000000-0x00000000bfffffff]
[    0.000000][    T0]   Normal   empty
[    0.000000][    T0] Movable zone start for each node
[    0.000000][    T0] Early memory node ranges
[    0.000000][    T0]   node   0: [mem 0x0000000040000000-0x00000000bfffffff]
[    0.000000][    T0] Initmem setup node 0 [mem 0x0000000040000000-0x00000000bfffffff]
[    0.000000][    T0] cma: Reserved 16 MiB at 0x00000000bca00000 on node -1
[    0.000000][    T0] psci: probing for conduit method from DT.
[    0.000000][    T0] psci: PSCIv1.1 detected in firmware.
[    0.000000][    T0] psci: Using standard PSCI v0.2 function IDs
[    0.000000][    T0] psci: Trusted OS migration not required
[    0.000000][    T0] psci: SMC Calling Convention v1.0
[    0.000000][    T0] 'bootconfig' found on command line, but no bootconfig found
[    0.000000][    T0] percpu: Embedded 81 pages/cpu s171544 r131072 d29160 u331776
[    0.000000][    T0] Detected PIPT I-cache on CPU0
[    0.000000][    T0] CPU features: detected: Address authentication (IMP DEF algorithm)
[    0.000000][    T0] CPU features: detected: Spectre-v4
[    0.000000][    T0] CPU features: kernel page table isolation disabled by kernel configuration
[    0.000000][    T0] alternatives: applying boot alternatives
[    0.000000][    T0] Kernel command line: console=ttynull stack_depot_disable=on cgroup_disable=pressure kasan.stacktrace=off kvm-arm.mode=protected bootconfig console=ttyAMA0 earlycon panic=-1 loglevel=7 nokaslr
[    0.000000][    T0] cgroup: Disabling pressure control group feature
[    0.000000][    T0] Dentry cache hash table entries: 262144 (order: 9, 2097152 bytes, linear)
[    0.000000][    T0] Inode-cache hash table entries: 131072 (order: 8, 1048576 bytes, linear)
[    0.000000][    T0] Built 1 zonelists, mobility grouping on.  Total pages: 524288
[    0.000000][    T0] mem auto-init: stack:all(zero), heap alloc:on, heap free:off
[    0.000000][    T0] stackdepot: disabled
[    0.000000][    T0] software IO TLB: SWIOTLB bounce buffer size adjusted to 2MB
[    0.000000][    T0] software IO TLB: area num 4.
[    0.000000][    T0] software IO TLB: mapped [mem 0x00000000bc500000-0x00000000bc700000] (2MB)
[    0.000000][    T0] SLUB: HWalign=64, Order=0-3, MinObjects=0, CPUs=4, Nodes=1
[    0.000000][    T0] rcu: Preemptible hierarchical RCU implementation.
[    0.000000][    T0] rcu: 	RCU event tracing is enabled.
[    0.000000][    T0] rcu: 	RCU restricting CPUs from NR_CPUS=32 to nr_cpu_ids=4.
[    0.000000][    T0] rcu: 	RCU priority boosting: priority 1 delay 500 ms.
[    0.000000][    T0] 	Trampoline variant of Tasks RCU enabled.
[    0.000000][    T0] 	Tracing variant of Tasks RCU enabled.
[    0.000000][    T0] rcu: RCU calculated value of scheduler-enlistment delay is 25 jiffies.
[    0.000000][    T0] rcu: Adjusting geometry for rcu_fanout_leaf=16, nr_cpu_ids=4
[    0.000000][    T0] RCU Tasks: Setting shift to 2 and lim to 1 rcu_task_cb_adjust=1 rcu_task_cpu_ids=4.
[    0.000000][    T0] RCU Tasks Trace: Setting shift to 2 and lim to 1 rcu_task_cb_adjust=1 rcu_task_cpu_ids=4.
[    0.000000][    T0] NR_IRQS: 64, nr_irqs: 64, preallocated irqs: 0
[    0.000000][    T0] GICv3: 988 SPIs implemented
[    0.000000][    T0] GICv3: 0 Extended SPIs implemented
[    0.000000][    T0] Root IRQ handler: gic_handle_irq
[    0.000000][    T0] GICv3: GICv3 features: 16 PPIs, RSS
[    0.000000][    T0] GICv3: GICD_CTRL.DS=1, SCR_EL3.FIQ=0
[    0.000000][    T0] GICv3: CPU0: found redistributor 0 region 0:0x00000000080a0000
[    0.000000][    T0] GICv2m: range[mem 0x08020000-0x08020fff], SPI[80:143]
[    0.000000][    T0] rcu: 	Offload RCU callbacks from CPUs: 0-3.
[    0.000000][    T0] rcu: srcu_init: Setting srcu_struct sizes based on contention.
[    0.000000][    T0] arch_timer: cp15 timer(s) running at 24.00MHz (virt).
[    0.000000][    T0] clocksource: arch_sys_counter: mask: 0xffffffffffffff max_cycles: 0x588fe9dc0, max_idle_ns: 440795202592 ns
[    0.000000][    T0] sched_clock: 56 bits at 24MHz, resolution 41ns, wraps every 4398046511097ns
[    0.000526][    T0] kfence: initialized - using 524288 bytes for 63 objects at 0x(____ptrval____)-0x(____ptrval____)
[    0.001137][    T0] Calibrating delay loop (skipped), value calculated using timer frequency.. 48.00 BogoMIPS (lpj=96000)
[    0.001762][    T0] pid_max: default: 32768 minimum: 301
[    0.002059][    T0] LSM: initializing lsm=capability,selinux,bpf
[    0.002408][    T0] SELinux:  Initializing.
[    0.002846][    T0] LSM support for eBPF active
[    0.003145][    T0] Mount-cache hash table entries: 4096 (order: 3, 32768 bytes, linear)
[    0.003588][    T0] Mountpoint-cache hash table entries: 4096 (order: 3, 32768 bytes, linear)
[    0.004341][    T1] cacheinfo: Unable to detect cache hierarchy for CPU 0
[    0.004856][    T1] rcu: Hierarchical SRCU implementation.
[    0.005162][    T1] rcu: 	Max phase no-delay instances is 1000.
[    0.005523][    T1] Timer migration: 1 hierarchy levels; 8 children per group; 1 crossnode level
[    0.006085][    T1] dyndbg: Ignore empty _ddebug table in a CONFIG_DYNAMIC_DEBUG_CORE build
[    0.006549][    T1] EFI services will not be available.
[    0.006873][    T1] smp: Bringing up secondary CPUs ...
[    0.007337][    T0] Detected PIPT I-cache on CPU1
[    0.007355][    T0] GICv3: CPU1: found redistributor 1 region 0:0x00000000080c0000
[    0.007402][    T0] CPU1: Booted secondary processor 0x0000000001 [0x610f0000]
[    0.007616][    T0] Detected PIPT I-cache on CPU2
[    0.007632][    T0] GICv3: CPU2: found redistributor 2 region 0:0x00000000080e0000
