-rw-r--r--  1 user  staff  16363249 Aug 17 19:40 initramfs.cpio.gz
[    0.007451][    T0] CPU2: Booted secondary processor 0x0000000002 [0x610f0000]
[    0.007631][    T0] Detected PIPT I-cache on CPU3
[    0.007650][    T0] GICv3: CPU3: found redistributor 3 region 0:0x0000000008100000
[    0.007691][    T0] CPU3: Booted secondary processor 0x0000000003 [0x610f0000]
[    0.007737][    T1] smp: Brought up 1 node, 4 CPUs
[    0.011040][    T1] SMP: Total of 4 processors activated.
[    0.011344][    T1] CPU: All CPU(s) started at EL1
[    0.011619][    T1] CPU features: detected: Branch Target Identification
[    0.011974][    T1] CPU features: detected: ARMv8.4 Translation Table Level
[    0.012347][    T1] CPU features: detected: Data cache clean to the PoU not required for I/D coherence
[    0.012858][    T1] CPU features: detected: Common not Private translations
[    0.013227][    T1] CPU features: detected: CRC32 instructions
[    0.013537][    T1] CPU features: detected: Data independent timing control (DIT)
[    0.013938][    T1] CPU features: detected: E0PD
[    0.014186][    T1] CPU features: detected: Enhanced Privileged Access Never
[    0.014559][    T1] CPU features: detected: Generic authentication (IMP DEF algorithm)
[    0.014978][    T1] CPU features: detected: RCpc load-acquire (LDAPR)
[    0.015319][    T1] CPU features: detected: LSE atomic instructions
[    0.015662][    T1] CPU features: detected: Privileged Access Never
[    0.016003][    T1] CPU features: detected: RAS Extension Support
[    0.016304][    T1] CPU features: detected: Speculation barrier (SB)
[    0.016621][    T1] CPU features: detected: TLB range maintenance instructions
[    0.017019][    T1] alternatives: applying system-wide alternatives
[    0.018720][    T1] Memory: 1972872K/2097152K available (18496K kernel code, 2290K rwdata, 14648K rodata, 4480K init, 2410K bss, 103540K reserved, 16384K cma-reserved)
[    0.019897][    T1] setend instruction emulation is not supported on this system
[    0.020344][    T1] clocksource: jiffies: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 7645041785100000 ns
[    0.020908][    T1] futex hash table entries: 1024 (order: 4, 65536 bytes, linear)
[    0.021380][    T1] 22128 pages in range for non-PLT usage
[    0.021380][    T1] 513648 pages in range for PLT usage
[    0.021687][    T1] pinctrl core: initialized pinctrl subsystem
[    0.022961][    T1] NET: Registered PF_NETLINK/PF_ROUTE protocol family
[    0.023684][    T1] DMA: preallocated 256 KiB GFP_KERNEL pool for atomic allocations
[    0.024146][    T1] DMA: preallocated 256 KiB GFP_KERNEL|GFP_DMA32 pool for atomic allocations
[    0.024623][    T1] audit: initializing netlink subsys (disabled)
[    0.025047][   T50] audit: type=2000 audit(0.024:1): state=initialized audit_enabled=0 res=1
[    0.025099][    T1] thermal_sys: Registered thermal governor 'bang_bang'
[    0.025517][    T1] thermal_sys: Registered thermal governor 'step_wise'
[    0.025924][    T1] thermal_sys: Registered thermal governor 'user_space'
[    0.026313][    T1] thermal_sys: Registered thermal governor 'power_allocator'
[    0.026696][    T1] cpuidle: using governor menu
[    0.027414][    T1] hw-breakpoint: found 6 breakpoint and 4 watchpoint registers.
[    0.027930][    T1] ASID allocator initialised with 256 entries
[    0.028324][    T1] Serial: AMBA PL011 UART driver
[    0.029002][    T1] 9000000.pl011: ttyAMA0 at MMIO 0x9000000 (irq = 13, base_baud = 0) is a PL011 rev1
[    0.029482][    T1] printk: legacy console [ttyAMA0] enabled
[    0.029482][    T1] printk: legacy console [ttyAMA0] enabled
[    0.029995][    T1] printk: legacy bootconsole [pl11] disabled
[    0.029995][    T1] printk: legacy bootconsole [pl11] disabled
[    0.034320][    T1] iommu: Default domain type: Translated
[    0.034562][    T1] iommu: DMA domain TLB invalidation policy: strict mode
[    0.034973][    T1] SCSI subsystem initialized
[    0.035191][    T1] usbcore: registered new interface driver usbfs
[    0.035462][    T1] usbcore: registered new interface driver hub
[    0.035722][    T1] usbcore: registered new device driver usb
[    0.035984][    T1] mc: Linux media interface: v0.10
[    0.036206][    T1] videodev: Linux video capture interface: v2.00
[    0.036483][    T1] EDAC MC: Ver: 3.0.0
[    0.036712][    T1] scmi_core: SCMI protocol bus registered
[    0.037035][    T1] Advanced Linux Sound Architecture Driver Initialized.
[    0.037587][    T1] clocksource: Switched to clocksource arch_sys_counter
[    0.038047][    T1] VFS: Disk quotas dquot_6.6.0
[    0.038334][    T1] VFS: Dquot-cache hash table entries: 512 (order 0, 4096 bytes)
[    0.038780][    T1] NET: Registered PF_INET protocol family
[    0.039081][    T1] IP idents hash table entries: 32768 (order: 6, 262144 bytes, linear)
[    0.047725][    T1] tcp_listen_portaddr_hash hash table entries: 1024 (order: 2, 16384 bytes, linear)
[    0.048185][    T1] Table-perturb hash table entries: 65536 (order: 6, 262144 bytes, linear)
[    0.048564][    T1] TCP established hash table entries: 16384 (order: 5, 131072 bytes, linear)
[    0.048989][    T1] TCP bind hash table entries: 16384 (order: 7, 524288 bytes, linear)
[    0.049348][    T1] TCP: Hash tables configured (established 16384 bind 16384)
[    0.049708][    T1] UDP hash table entries: 1024 (order: 3, 32768 bytes, linear)
[    0.050032][    T1] UDP-Lite hash table entries: 1024 (order: 3, 32768 bytes, linear)
[    0.050397][    T1] NET: Registered PF_UNIX/PF_LOCAL protocol family
[    0.050670][    T1] NET: Registered PF_XDP protocol family
[    0.050906][    T1] PCI: CLS 0 bytes, default 64
[    0.051173][   T12] Trying to unpack rootfs image as initramfs...
[    0.053599][    T1] kvm [1]: HYP mode not available
[    0.066892][    T1] Initialise system trusted keyrings
[    0.067235][    T1] workingset: timestamp_bits=46 max_order=19 bucket_order=0
[    0.067872][    T1] ntfs3: Read-only LZX/Xpress compression included
[    0.068145][    T1] fuse: init (API version 7.41)
[    0.069170][    T1] [DEFEX] LSM started
[    0.069334][    T1] [DEFEX] ADB LP Enabled
[    0.069555][    T1] [DSMS-KERNEL] Started.
[    0.073442][    T1] Key type asymmetric registered
[    0.073855][    T1] Asymmetric key parser 'x509' registered
[    0.074108][    T1] Block layer SCSI generic (bsg) driver version 0.4 loaded (major 241)
[    0.074462][    T1] io scheduler mq-deadline registered
[    0.074688][    T1] io scheduler kyber registered
[    0.074895][    T1] io scheduler bfq registered
[    0.075357][    T1] pl061_gpio 9030000.pl061: PL061 GPIO chip registered
[    0.075683][    T1] pci-host-generic 4010000000.pcie: host bridge /pcie@10000000 ranges:
[    0.076036][    T1] pci-host-generic 4010000000.pcie:       IO 0x003eff0000..0x003effffff -> 0x0000000000
[    0.076450][    T1] pci-host-generic 4010000000.pcie:      MEM 0x0010000000..0x003efeffff -> 0x0010000000
[    0.076865][    T1] pci-host-generic 4010000000.pcie:      MEM 0x8000000000..0xffffffffff -> 0x8000000000
[    0.077290][    T1] pci-host-generic 4010000000.pcie: Memory resource size exceeds max for 32 bits
[    0.077713][    T1] pci-host-generic 4010000000.pcie: ECAM at [mem 0x4010000000-0x401fffffff] for [bus 00-ff]
[    0.078177][    T1] pci-host-generic 4010000000.pcie: PCI host bridge to bus 0000:00
[    0.078541][    T1] pci_bus 0000:00: root bus resource [bus 00-ff]
[    0.078817][    T1] pci_bus 0000:00: root bus resource [io  0x0000-0xffff]
[    0.079121][    T1] pci_bus 0000:00: root bus resource [mem 0x10000000-0x3efeffff]
[    0.079458][    T1] pci_bus 0000:00: root bus resource [mem 0x8000000000-0xffffffffff]
[    0.079809][    T1] pci 0000:00:00.0: [1b36:0008] type 00 class 0x060000 conventional PCI endpoint
[    0.080318][    T1] pci 0000:00:01.0: [1af4:1000] type 00 class 0x020000 conventional PCI endpoint
[    0.080705][    T1] pci 0000:00:01.0: BAR 0 [io  0x0000-0x001f]
[    0.080947][    T1] pci 0000:00:01.0: BAR 1 [mem 0x00000000-0x00000fff]
[    0.081230][    T1] pci 0000:00:01.0: BAR 4 [mem 0x00000000-0x00003fff 64bit pref]
[    0.081547][    T1] pci 0000:00:01.0: ROM [mem 0x00000000-0x0003ffff pref]
[    0.082009][    T1] pci 0000:00:01.0: ROM [mem 0x10000000-0x1003ffff pref]: assigned
[    0.082345][    T1] pci 0000:00:01.0: BAR 4 [mem 0x8000000000-0x8000003fff 64bit pref]: assigned
[    0.082732][    T1] pci 0000:00:01.0: BAR 1 [mem 0x10040000-0x10040fff]: assigned
[    0.083057][    T1] pci 0000:00:01.0: BAR 0 [io  0x1000-0x101f]: assigned
[    0.083361][    T1] pci_bus 0000:00: resource 4 [io  0x0000-0xffff]
[    0.083609][    T1] pci_bus 0000:00: resource 5 [mem 0x10000000-0x3efeffff]
[    0.083895][    T1] pci_bus 0000:00: resource 6 [mem 0x8000000000-0xffffffffff]
[    0.084369][    T1] printk: legacy console [ttynull0] enabled
[    0.085290][    T1] brd: module loaded
[    0.086454][    T1] loop: module loaded
[    0.087028][    T1] wireguard: WireGuard 1.0.0 loaded. See www.wireguard.com for information.
[    0.087416][    T1] wireguard: Copyright (C) 2015-2019 Jason A. Donenfeld <Jason@zx2c4.com>. All Rights Reserved.
[    0.087968][    T1] tun: Universal TUN/TAP device driver, 1.6
[    0.088484][    T1] VFIO - User Level meta-driver version: 0.3
[    0.089065][    T1] usbcore: registered new interface driver uas
[    0.089336][    T1] usbcore: registered new interface driver usb-storage
[    0.089669][    T1] usbcore: registered new interface driver xpad
[    0.090014][    T1] rtc-pl031 9010000.pl031: registered as rtc0
[    0.090348][    T1] rtc-pl031 9010000.pl031: setting system clock to 2026-08-17T17:40:52 UTC (1786988452)
[    0.090804][    T1] gspca_main: v2.14.0 registered
[    0.091019][    T1] usbcore: registered new interface driver uvcvideo
[    0.091317][    T1] device-mapper: uevent: version 1.0.3
[    0.091575][    T1] device-mapper: ioctl: 4.48.0-ioctl (2023-03-01) initialised: dm-devel@lists.linux.dev
[    0.092050][    T1] alta_bigdata : create /proc/alta_bigdata
[    0.092087][    T1] sdhci: Secure Digital Host Controller Interface driver
[    0.092652][    T1] sdhci: Copyright(c) Pierre Ossman
[    0.092872][    T1] sdhci-pltfm: SDHCI platform and OF driver helper
[    0.093193][    T1] hid: raw HID events driver (C) Jiri Kosina
[    0.093529][    T1] usbcore: registered new interface driver usbhid
[    0.093820][    T1] usbhid: USB HID core driver
[    0.094062][    T1] ashmem_rust: Using Rust implementation.
[    0.094114][    T1] nf_register_hooks(freecess hooks) success
[    0.094827][    T1] hw perfevents: enabled with armv8_pmuv3 PMU driver, 1 (0,80000000) counters available
[    0.095277][   T63] watchdog: NMI not fully supported
[    0.095497][   T63] watchdog: Hard watchdog permanently disabled
[    0.095806][    T1] usbcore: registered new interface driver snd-usb-audio
[    0.096141][    T1] GACT probability NOT on
[    0.096360][    T1] Mirror/redirect action on
[    0.096579][    T1] netem: version 1.3
[    0.096756][    T1] u32 classifier
[    0.096912][    T1]     input device check on
[    0.097124][    T1]     Actions configured
[    0.097535][    T1] xt_time: kernel timezone is -0000
[    0.097789][    T1] ipip: IPv4 and MPLS over IPv4 tunneling driver
[    0.098112][    T1] gre: GRE over IPv4 demultiplexor driver
[    0.098350][    T1] ip_gre: GRE over IPv4 tunneling driver
[    0.098656][    T1] IPv4 over IPsec tunneling driver
[    0.098907][    T1] Initializing XFRM netlink socket
[    0.099124][    T1] IPsec XFRM device driver
[    0.099314][    T1] NET: Registered PF_INET6 protocol family
[    0.099796][    T1] Segment Routing with IPv6
[    0.099989][    T1] In-situ OAM (IOAM) with IPv6
[    0.100196][    T1] mip6: Mobile IPv6
[    0.100394][    T1] sit: IPv6, IPv4 and MPLS over IPv4 tunneling driver
[    0.100737][    T1] ip6_gre: GRE over IPv6 tunneling driver
[    0.101005][    T1] NET: Registered PF_PACKET protocol family
[    0.101252][    T1] NET: Registered PF_KEY protocol family
[    0.101544][    T1] NET: Registered PF_VSOCK protocol family
[    0.101811][    T1] ncm: Network Context Metadata Module: initialized
[    0.102798][    T1] registered taskstats version 1
[    0.103070][    T1] Loading compiled-in X.509 certificates
[    0.103636][    T1] Loaded X.509 cert 'Build time autogenerated kernel key: 0764c7ed0966421a7b4bdbbf11062d1d2f1d750d'
[    0.105067][    T1] page_owner is disabled
[    0.105286][    T1] Key type .fscrypt registered
[    0.105504][    T1] Key type fscrypt-provisioning registered
[    0.105882][    T1] Loaded X.509 cert 'CRONUS-07: cronus-07secadmin
 signing key: fe7a8343698a95507edd96ed880c59aa623430a9': built-in
[    0.106484][    T1] PROCA: Config driver is inited.
[    0.106712][    T1] PROCA: Proca keyring was initialized
[    0.106954][    T1] Loaded X.509 cert 'CRONUS-07: cronus-07secadmin
 signing key: fe7a8343698a95507edd96ed880c59aa623430a9': built-in
[    0.107500][    T1] PROCA: Proca x509 certificate was initialized
[    0.107781][    T1] PROCA: Proca certificate db was initialized
[    0.108058][    T1] PROCA: LSM module was initialized
[    0.108279][    T1] defex_rules_proc: [DEFEX] Failed to open rules file (-2)
[    0.108703][    T1] input: gpio-keys as /devices/platform/gpio-keys/input/input0
[    0.109290][    T1] uh_log : create /proc/uh_log
[    0.116935][    T1] clk: Disabling unused clocks
[    0.117163][    T1] PM: genpd: Disabling unused power domains
[    0.117422][    T1] ALSA device list:
[    0.117594][    T1]   No soundcards found.
[    0.182294][   T12] Freeing initrd memory: 15976K
[    0.183245][    T1] Freeing unused kernel memory: 4480K
[    0.183483][    T1] Run /init as init process
[init] e2e guest boot
[    0.184183][    T1] request_module fs-devtmpfs succeeded, but still no fs?
[init] devtmpfs mount failed (No such device) — mknod fallback
[init] /dev/ashmem -> 10:124
Linux version 6.12.23-android16-5-abA175FXXS3BZA5-4k (kleaf@build-host) (Android (12833971, +pgo, +bolt, +lto, +mlgo, based on r536225) clang version 19.0.1 (https://android.googlesource.com/toolchain/llvm-project b3a530ec6537146650e42be89f1089e9a3588460), LLD 19.0.1) #1 SMP PREEMPT Thu Jan 15 02:57:19 UTC 2026
50b855cd-0c51-4d77-ad84-89ecd9722855
[init] uname: uptime=1 loads=0
Linux
[init] osrelease=6.12.23-android16-5-abA175FXXS3BZA5-4k
[init] running: GL_WQ_UMH=1 RWF_DEBUG=1 /data/local/tmp/a/g4 --rwforge
[33m[*] [0mkernel: 6.12.23-android16-5-abA175FXXS3BZA5-4k
[32m[+] [0moffsets matched: 6.12.23-android16-5-abA175FXXS3BZA5-4k
[33m[*] [0minit_cred image=ffffffc082512b08 alias=ffffff8002512b08
[32m[+] [0mstartup context pid=86 uid=0 euid=0 gid=0 egid=0 attr=kernel enforce=unreadable
[32m[+] [0mstartup limits pid=86 NoNewPrivs=0 Seccomp=0 Seccomp_filters=0
[32m[+] [0mbuild config pid=86 label=ghostlock_a17 slide=pselect main=pselect
[32m[+] [0mp0 profile pid=86 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 slide_logger=ffffff80024f21a0 bootid_data=ffffff80028204f0 init_task=ffffff80024fcf40 root_tg=ffffff800272ed80 sysctl_bootid=ffffff80028204f0
[33m[*] [0mp0 kernel_phys_load=0000000040200000 delta=0000000000200000
[32m[+] [0mSELinux off
[33m[*] [0mDBG payload mode=0 cw=3 target=ffffff800281b920 cval=ffffff80026fcf70 pc=ffffff800281b918 right=ffffff80026fcf70 left=0000000000000000 wtask=ffffffc0824fcf40
[33m[*] [0mDBG post-payload base=ffffff801b730000
[33m[*] [0mprepare_kernel_page ok attempt=1
[33m[*] [0mpselect route setup attempt=1 simple=0 shift=0 page=ffffff801b730000 fake_lock=ffffff801b730000 fake_w0=ffffff801b730300 fake_task=ffffff801b730400 in0=0000000000000000 in3=0000000000000000 out0=0000000000000001 ex0=0000000000000001 ex1=0000000000000000 ex2=ffffff801b730400 ex3=ffffff801b730000
[33m[*] [0mpselect pre-select +1ms
[    1.687392][    T0] ------------[ cut here ]------------
[    1.687831][    T0] WARNING: CPU: 0 PID: 0 at kernel/sched/core.c:7865 schedule_idle+0x3c/0x48
[    1.688412][    T0] Modules linked in:
[    1.688662][    T0] CPU: 0 UID: 0 PID: 0 Comm: swapper/0 Not tainted 6.12.23-android16-5-abA175FXXS3BZA5-4k #1 c6077d974cbca63cf225e74fc494b6eb46ef0256
[    1.689537][    T0] Hardware name: linux,dummy-virt (DT)
[    1.689891][    T0] pstate: 61400005 (nZCv daif +PAN -UAO -TCO +DIT -SSBS BTYPE=--)
[    1.690400][    T0] pc : schedule_idle+0x3c/0x48
[    1.690715][    T0] lr : do_idle+0x214/0x25c
[    1.691008][    T0] sp : ffffffc0824e3db0
[    1.691274][    T0] x29: ffffffc0824e3db0 x28: ffffffc0824c91b0 x27: ffffffc0824eb000
[    1.691788][    T0] x26: ffffffc0824eaff0 x25: 0000000000000001 x24: 0000000000000000
[    1.692214][    T0] x23: ffffffc0824eb000 x22: ffffffc0824fcf40 x21: 0000000049000000
[    1.692557][    T0] x20: 0000000000000000 x19: ffffffc0824fcf40 x18: ffffffc0824fbf40
[    1.692900][    T0] x17: 000000003365b284 x16: 000000003365b284 x15: 0000000000000010
[    1.693269][    T0] x14: 0000000000000010 x13: ffffffc08edab790 x12: 0000000000000000
[    1.693612][    T0] x11: 0000000000000030 x10: 000000004b795940 x9 : ffffffc0824d0a00
[    1.693955][    T0] x8 : 000000000281b918 x7 : 0000000000000000 x6 : ffffffc084243db8
[    1.694423][    T0] x5 : ffffffc084243db8 x4 : 0000000000000001 x3 : 000000000000000a
[    1.694903][    T0] x2 : 0000000000000001 x1 : 00000000003cd638 x0 : ffffffc0824fcf40
[    1.695378][    T0] Call trace:
[    1.695573][    T0]  schedule_idle+0x3c/0x48
[    1.695835][    T0]  do_idle+0x214/0x25c
[    1.696078][    T0]  cpu_startup_entry+0x34/0x3c
[    1.696361][    T0]  rest_init+0xdc/0xe0
[    1.696621][    T0]  start_kernel+0x374/0x414
[    1.696908][    T0]  __primary_switched+0x88/0x94
[    1.697200][    T0] ---[ end trace 0000000000000000 ]---
[33m[*] [0mpselect post-select +202ms ret=4
[33m[*] [0mpselect returned attempt=1 ret=4 errno=0 calls=1 success=1 delay=100000
[33m[*] [0mpselect route probing cfi attempt=1 ret=4 expected=9
[33m[*] [0mpselect route done calls=1 success=1 step=0 errno=0
[33m[*] [0moracle window text: bec262ea-e60a-4d40-a485-3ac5c5cad49a
[33m[*] [0mDBG payload mode=0 cw=3 target=ffffff800281b920 cval=ffffff8002a204f0 pc=ffffff800281b918 right=ffffff8002a204f0 left=0000000000000000 wtask=ffffffc0824fcf40
[33m[*] [0mDBG post-payload base=ffffff8015878000
[33m[*] [0mprepare_kernel_page ok attempt=1
[33m[*] [0mpselect route setup attempt=1 simple=0 shift=0 page=ffffff8015878000 fake_lock=ffffff8015878000 fake_w0=ffffff8015878300 fake_task=ffffff8015878400 in0=0000000000000000 in3=0000000000000000 out0=0000000000000001 ex0=0000000000000001 ex1=0000000000000000 ex2=ffffff8015878400 ex3=ffffff8015878000
[33m[*] [0mpselect pre-select +1ms
[33m[*] [0mpselect post-select +202ms ret=4
[33m[*] [0mpselect returned attempt=1 ret=4 errno=0 calls=1 success=1 delay=100000
[33m[*] [0mpselect route probing cfi attempt=1 ret=4 expected=9
[33m[*] [0mpselect route done calls=1 success=1 step=0 errno=0
[33m[*] [0mbootid oracle: restore verified
[33m[*] [0moracle slide: stackv=9ad4cac5c53a85a4 slide=9ad4cb0542ec85a4
[33m[*] [0mperf slide: page#0=ffffffc080022000 votes=1735 residue=22000
[33m[*] [0mperf slide: page#1=ffffffc080735000 votes=444 residue=135000
[33m[*] [0mperf slide: page#2=ffffffc080037000 votes=120 residue=37000
[31m[-] [0mfuse-bringup: perf slide failed (att 1)
[33m[*] [0mDBG payload mode=0 cw=3 target=ffffff800281b920 cval=ffffff80026fcf70 pc=ffffff800281b918 right=ffffff80026fcf70 left=0000000000000000 wtask=ffffffc0824fcf40
[33m[*] [0mDBG post-payload base=ffffff800f480000
[33m[*] [0mprepare_kernel_page ok attempt=1
[33m[*] [0mpselect route setup attempt=1 simple=0 shift=0 page=ffffff800f480000 fake_lock=ffffff800f480000 fake_w0=ffffff800f480300 fake_task=ffffff800f480400 in0=0000000000000000 in3=0000000000000000 out0=0000000000000001 ex0=0000000000000001 ex1=0000000000000000 ex2=ffffff800f480400 ex3=ffffff800f480000
[33m[*] [0mpselect pre-select +0ms
[33m[*] [0mpselect post-select +201ms ret=4
[33m[*] [0mpselect returned attempt=1 ret=4 errno=0 calls=1 success=1 delay=100000
[33m[*] [0mpselect route probing cfi attempt=1 ret=4 expected=9
[33m[*] [0mpselect route done calls=1 success=1 step=0 errno=0
[33m[*] [0moracle window text: 18b98102-80ff-ffff-a485-3ac5c5cad49a
[33m[*] [0mDBG payload mode=0 cw=3 target=ffffff800281b920 cval=ffffff8002a204f0 pc=ffffff800281b918 right=ffffff8002a204f0 left=0000000000000000 wtask=ffffffc0824fcf40
[33m[*] [0mDBG post-payload base=ffffff801cf38000
[33m[*] [0mprepare_kernel_page ok attempt=1
[33m[*] [0mpselect route setup attempt=1 simple=0 shift=0 page=ffffff801cf38000 fake_lock=ffffff801cf38000 fake_w0=ffffff801cf38300 fake_task=ffffff801cf38400 in0=0000000000000000 in3=0000000000000000 out0=0000000000000001 ex0=0000000000000001 ex1=0000000000000000 ex2=ffffff801cf38400 ex3=ffffff801cf38000
[33m[*] [0mpselect pre-select +1ms
[33m[*] [0mpselect post-select +202ms ret=4
